station_id,x,y,start_date,end_date,ground_elev,measure_elev,lifespan
13806,468817.0,5502948.0,1959-01-01,2007-05-16,94.41,94.79,17667 days
13810,472411.0,5503183.0,1991-12-25,2024-03-01,99.86,100.56,11755 days
13813,468957.0,5503418.0,1940-01-01,2024-03-01,93.31,93.36,30741 days
13821,472276.0,5503698.0,1991-12-25,2024-03-01,97.13,97.83,11755 days
13822,467598.0,5503718.0,1959-01-01,2024-03-01,92.47,92.73,23801 days
13823,470417.0,5503718.0,1978-01-01,2024-03-01,94.42,94.98,16861 days
13824,470417.0,5503718.0,1981-01-01,2024-03-01,94.42,94.96,15765 days
13825,466618.086,5503817.542,1959-01-01,2024-03-01,92.55,93.22,23801 days
13832,470626.0,5504557.0,1981-01-01,2024-03-01,93.71,94.21,15765 days
13836,472156.0,5504857.0,1978-01-01,2024-03-01,99.92,100.33,16861 days
13838,469927.0,5504887.0,1954-01-01,2024-03-01,93.64,93.74,25627 days
14077,462380.0,5493072.0,1974-01-01,2024-03-01,90.19,90.63,18322 days
14078,459481.0,5493342.0,1978-01-01,2024-03-01,91.37,92.16,16861 days
14080,458121.0,5493822.0,1973-01-01,2024-03-01,91.49,91.9,18687 days
14081,463499.0,5493921.0,1974-01-01,2010-03-01,93.86,94.9,13208 days
14082,461440.0,5494081.0,1947-12-25,2024-03-01,92.37,92.27,27826 days
14173,466228.0,5493871.0,1976-01-01,2024-03-01,95.72,96.77,17592 days
14174,466228.0,5493881.0,1978-01-01,2024-03-01,95.72,96.66,16861 days
14176,470267.0,5493961.0,1958-01-01,2024-03-01,97.4,97.26,24166 days
14702,469695.0,5512269.0,2000-01-01,2024-03-01,92.42,93.02,8826 days
15153,468650.0,5509366.0,2003-07-08,2024-03-01,91.42,91.86,7542 days
15154,460988.0,5503955.0,2003-01-01,2024-03-01,89.54,90.17,7730 days
15291,461399.0,5504853.0,2001-01-01,2024-03-01,89.55,89.98,8460 days
15714,467324.0,5514643.0,2007-01-01,2024-03-01,90.27,91.06,6269 days
15892,467323.0,5514651.0,2007-01-01,2024-03-01,90.92,90.92,6269 days
16975,466962.0,5499411.0,2012-01-01,2024-03-01,93.6,94.4,4443 days
17128,467471.0,5492704.0,2003-01-01,2024-03-01,96.57,97.35,7730 days
17324,467204.0,5504786.0,2003-08-01,2024-03-01,92.01,92.86,7518 days
17794,469074.923,5514527.748,1976-09-01,2024-03-01,92.1,92.82,17348 days
14119,469297.0,5487354.0,1974-01-01,2024-03-01,98.78,99.19,18322 days
14147,471906.0,5489183.0,1978-01-01,2024-03-01,97.99,98.48,16861 days
14158,468497.0,5489803.0,1953-01-01,2024-03-01,97.25,97.73,25992 days
14160,470966.0,5490603.0,1974-01-01,2024-03-01,97.08,96.79,18322 days
14166,468427.0,5492142.0,1953-01-01,2024-03-01,95.85,95.95,25992 days
14169,470926.0,5492462.0,1974-01-01,2024-03-01,96.88,97.3,18322 days
16459,469518.0,5492683.0,2010-01-01,2024-03-01,96.46,96.96,5173 days
17129,467596.0,5490910.0,2003-01-01,2024-03-01,96.9,97.72,7730 days
17130,465688.0,5492192.0,2013-01-01,2024-03-01,95.82,96.58,4077 days
17131,469267.0,5491023.0,2013-01-01,2024-03-01,97.56,98.24,4077 days
