station_id,date,station_id_count,precip_mean,precip_min,precip_max,precip_std,tmean_mean,tmean_min,tmean_max,tmean_std,tmax_mean,tmax_min,tmax_max,tmax_std,tmin_mean,tmin_min,tmin_max,tmin_std,moisture_mean,moisture_min,moisture_max,moisture_std
377,2019-08-25,14,2.4285714285714284,0.0,12.8,3.7911696127932646,4.271428571428571,-3.6,13.0,5.781858707188383,6.285714285714286,-2.3,14.5,5.654250564889166,1.7714285714285716,-7.9,10.9,5.801648117485314,74.71428571428571,56.0,86.0,8.109145562773048
377,2019-09-08,14,3.507142857142857,0.0,18.4,5.440512459702287,5.385714285714286,2.3,8.0,1.7571205216127117,7.764285714285714,3.5,10.3,2.073869346399157,2.8714285714285714,0.2,6.1,1.9007806377820227,80.71428571428571,69.0,90.0,5.525167194526565
377,2019-09-22,14,2.457142857142857,0.0,10.3,3.840615793115691,6.414285714285714,3.1,9.3,1.7973729302928343,10.178571428571429,6.1,13.9,2.267217397003368,2.9642857142857144,0.4,6.2,2.0514936932943213,77.28571428571429,68.0,92.0,7.226325499157939
377,2019-10-06,14,4.135714285714285,0.0,17.5,5.968585342358018,8.414285714285715,6.2,10.7,1.3125765283811617,12.457142857142857,10.1,16.7,1.8756390852245475,3.6714285714285713,0.7,6.6,1.4730546866597012,66.78571428571429,53.0,82.0,8.18233154122647
377,2019-10-20,14,3.1214285714285714,0.0,16.7,5.164401606773427,6.55,1.7,10.7,3.450696696655284,9.87142857142857,2.9,16.1,4.550304904649218,3.142857142857143,0.6,6.0,2.171392423065222,69.21428571428571,52.0,88.0,12.096907242562656
377,2019-11-03,14,1.0571428571428572,0.0,12.1,3.226981033939709,10.328571428571427,6.0,13.4,2.34075220369882,15.114285714285714,7.7,19.3,3.197801442543622,5.45,3.6,9.2,1.5305856093967132,59.07142857142857,45.0,86.0,11.99656544255823
377,2019-11-17,14,0.0,0.0,0.0,0.0,16.485714285714288,10.6,20.7,3.6483625711474246,22.22142857142857,14.5,25.9,3.8570970693252975,10.521428571428572,4.1,15.8,3.861282881958468,43.92857142857143,33.0,59.0,7.108654375686515
377,2019-12-01,14,1.092857142857143,0.0,7.6,2.3417496042043453,17.085714285714285,14.4,20.5,2.4616620848077875,22.228571428571428,16.3,26.5,3.236196383560031,11.671428571428573,8.0,14.8,1.8701824556931388,45.5,29.0,71.0,12.816755859781008
377,2019-12-15,14,3.757142857142857,0.0,20.0,5.688005502230689,16.05,10.8,22.7,4.128838540353412,21.192857142857143,14.1,29.9,5.054999701090197,10.9,7.2,16.9,3.148381757714221,66.14285714285714,48.0,87.0,12.482955412248169
377,2019-12-29,14,3.3285714285714287,0.0,15.1,5.1296166555569265,17.364285714285714,10.2,23.9,4.4342386637925255,21.87857142857143,11.7,29.5,5.623190795738192,12.635714285714286,4.2,17.5,3.826347353016199,68.28571428571429,58.0,83.0,8.774338208036605
377,2020-01-12,14,4.892857142857143,0.0,33.2,9.005422664297182,20.728571428571428,17.7,23.8,1.9120784387791097,26.12857142857143,21.3,28.8,2.2338061934487765,15.478571428571428,13.0,18.9,1.5512667634641613,66.07142857142857,56.0,80.0,7.01058853794399
377,2020-01-26,14,6.114285714285714,0.0,36.7,9.687411112672677,16.835714285714285,13.4,23.7,2.8483752839543017,21.02857142857143,17.1,27.6,3.1352655565183167,13.092857142857143,10.2,19.5,2.25438522601013,72.71428571428571,61.0,83.0,6.107102692496931
377,2020-02-09,14,1.7785714285714287,0.0,8.8,2.8969954120747965,18.8,13.7,27.6,4.733838904021847,23.892857142857142,16.9,33.4,5.379228467085116,13.764285714285714,9.0,21.5,3.6470445659374757,64.0,34.0,79.0,11.204394742174227
377,2020-02-23,14,2.6285714285714286,0.0,15.1,4.220905584829391,18.45,15.0,22.4,2.2660538387249325,22.685714285714287,19.0,27.7,2.7495054500364646,14.042857142857143,9.8,17.8,2.5922114959162657,67.35714285714286,53.0,77.0,7.82114631434099
377,2020-03-08,14,3.735714285714286,0.0,24.3,6.665480205778604,18.735714285714288,14.0,22.9,2.535473599473355,23.2,15.4,30.6,4.250248861492159,14.471428571428572,10.5,16.4,1.7053890020613034,69.0,47.0,90.0,13.878594475500197
377,2020-03-22,14,0.7285714285714286,0.0,4.5,1.3797594948889693,18.678571428571427,15.3,24.4,2.8273876421744633,23.892857142857142,19.8,30.1,3.382185066517772,14.064285714285715,10.3,20.1,2.3460628697907886,65.35714285714286,55.0,75.0,5.825766940031204
377,2020-04-05,14,1.1500000000000001,0.0,14.4,3.8239629061606113,14.585714285714285,11.9,16.9,1.9001445867484525,18.242857142857144,13.9,21.5,2.3460979996956266,11.028571428571428,7.9,14.4,2.2130482185398535,68.35714285714286,51.0,82.0,9.136630778247635
377,2020-04-19,14,0.5857142857142856,0.0,3.7,1.2544426545786673,15.035714285714286,10.8,18.1,2.28729169471305,20.657142857142855,15.7,24.5,2.9390512037087713,9.228571428571428,4.8,12.1,2.120387690033112,66.28571428571429,61.0,78.0,4.8899987640170135
377,2020-05-03,14,1.3714285714285714,0.0,9.5,2.8515659858100024,13.635714285714286,10.1,18.3,2.7156546576802105,18.071428571428573,11.5,22.7,2.9145334951764568,9.464285714285714,5.5,15.7,3.5101188108002925,73.92857142857143,61.0,86.0,7.927210060333921
377,2020-05-17,14,0.1571428571428571,0.0,1.4,0.40328322880745066,9.464285714285714,4.0,13.9,3.5756886680120044,13.957142857142857,6.7,20.5,4.693156111372632,5.685714285714285,1.6,9.1,2.7278780547008843,71.5,64.0,76.0,3.95649417462558
377,2020-05-31,14,0.15714285714285717,0.0,1.0,0.34129681581215565,7.957142857142857,4.4,11.5,1.8041466278950429,10.700000000000001,7.5,14.0,1.7641733736534213,4.935714285714285,-0.4,9.2,2.4870764866705346,74.42857142857143,59.0,84.0,6.958274385045651
377,2020-06-14,14,2.407142857142857,0.0,9.1,3.424226871912793,3.8642857142857143,0.6,9.3,2.877393891074979,6.278571428571429,2.8,10.3,2.8916799938466884,1.7142857142857142,-1.1,8.6,2.654707616192888,78.5,72.0,86.0,3.9174167312342263
377,2020-06-28,14,5.0,0.0,34.5,9.058782393983115,4.8999999999999995,0.7,7.8,2.257295863502305,7.042857142857143,3.7,11.0,1.9555500055421295,2.5,-2.9,5.8,2.9215380564669386,80.85714285714286,72.0,89.0,4.9280538030458105
377,2020-07-12,14,2.7285714285714286,0.0,12.6,4.100174212326663,3.878571428571429,-1.8,9.3,3.9736010739007877,5.421428571428572,0.0,11.8,4.153807997382749,2.2642857142857142,-3.9,8.1,3.948438277998636,75.57142857142857,66.0,85.0,5.7071383872680475
377,2020-07-26,14,0.39285714285714285,0.0,3.2,0.9152253070350288,-1.6142857142857143,-5.2,4.1,3.1661325942536904,0.07857142857142858,-4.4,5.3,3.537095412346684,-3.685714285714286,-6.9,2.5,3.084167296384538,86.78571428571429,67.0,93.0,7.018421600206256
377,2020-08-09,14,2.435714285714286,0.0,17.3,4.696251720231809,4.121428571428572,-1.6,8.7,3.1120556084186712,7.285714285714286,0.3,11.9,3.8554371482875465,0.55,-2.6,6.4,2.469428460813741,75.71428571428571,66.0,83.0,6.043796201682559
377,2020-08-23,14,1.0785714285714285,0.0,6.6,1.9992993278140723,6.521428571428571,2.5,11.8,2.829835160034421,9.307142857142859,5.4,13.3,2.0250220457353754,3.4,-1.8,10.9,3.910144596972185,69.64285714285714,44.0,80.0,8.634520545748044
377,2020-09-06,14,3.6357142857142857,0.0,25.8,7.543270780366701,4.3428571428571425,0.2,8.7,2.2741741648053546,7.835714285714286,4.3,12.1,2.5028006290975293,0.9071428571428573,-3.4,3.5,2.167048430722973,69.92857142857143,47.0,86.0,11.006741191122451
377,2020-09-20,14,0.2285714285714286,0.0,1.7,0.5060078616424413,5.307142857142857,-0.8,10.7,4.5095563973742365,9.407142857142857,2.7,18.1,4.937059898316045,1.3714285714285717,-4.4,8.8,4.567178656361154,65.71428571428571,41.0,89.0,14.860523706625045
377,2020-10-04,14,4.514285714285714,0.0,15.2,5.504244116743306,6.692857142857143,1.4,10.3,3.013167075383611,9.728571428571428,3.5,13.3,2.9303264642038074,2.85,-3.0,8.2,3.42204392364923,70.28,62.0,82.0,7.395366532758612
377,2020-10-18,14,3.621428571428571,0.0,12.2,3.7713859055195673,4.433333333333334,-0.4,10.9,3.7912179221634488,8.142857142857142,1.9,15.0,3.7145688818518328,2.1857142857142855,-4.5,8.0,3.7739710045066777,71.92857142857143,50.0,85.0,8.434948230330264
377,2020-11-01,14,1.9428571428571428,0.0,10.6,3.3209623919567663,7.314285714285714,1.6,12.3,3.196839098200005,11.321428571428571,3.5,21.6,4.477667416692032,3.4285714285714284,-1.5,8.4,3.0294524946898274,65.78571428571429,45.0,81.0,11.09524202549884
377,2020-11-15,14,3.2714285714285714,0.0,11.2,3.648693880413515,8.05,4.8,11.2,2.271817300346541,11.635714285714286,6.3,16.5,3.1409472218662713,5.214285714285714,2.6,9.3,2.123443191849264,75.71428571428571,58.0,87.0,7.660373272975589
377,2020-11-29,14,0.39285714285714285,0.0,3.8,1.0284149758912315,13.642857142857142,11.0,16.7,1.6556264376660883,18.864285714285717,16.1,22.4,1.7513103414551932,8.507142857142856,5.6,11.1,1.751686785189234,55.07142857142857,44.0,66.0,7.60024580284982
377,2020-12-13,14,0.6714285714285715,0.0,5.6,1.6259570301014303,17.571428571428573,13.0,20.4,2.4310265547480356,22.47142857142857,15.9,26.3,3.2161679470662388,12.742857142857144,10.2,15.5,1.761430487597328,48.92857142857143,35.0,77.0,14.279971373135956
377,2020-12-27,14,2.0142857142857142,0.0,11.6,4.067291130821243,19.2,13.4,23.5,3.300582699137555,24.142857142857142,16.8,29.4,3.8733238132949017,14.742857142857144,10.2,20.2,2.868318801537365,63.57142857142857,52.0,75.0,7.089692254515442
377,2021-01-10,14,2.7785714285714285,0.0,25.5,6.672697363876929,16.342857142857145,12.3,21.7,2.817176514967337,21.064285714285713,16.5,27.5,3.3983269962771954,12.357142857142858,8.1,15.4,2.6598768871782505,68.35714285714286,56.0,82.0,8.454467575076617
377,2021-01-24,14,0.34285714285714286,0.0,3.7,0.9779997528034026,21.264285714285712,18.7,24.2,1.7517495179466642,26.75714285714286,23.9,30.7,2.2768785264426885,15.107142857142858,10.7,17.6,1.8734847357117845,58.0,48.0,69.0,6.189320827658905
377,2021-02-07,14,1.3214285714285714,0.0,6.2,2.0370335035304388,19.164285714285715,16.3,26.3,2.5865352955575225,24.25714285714286,20.5,32.6,3.4078448605249907,13.721428571428572,11.3,19.1,1.992361788055948,60.07142857142857,48.0,81.0,9.918624949009862
377,2021-02-21,14,0.7999999999999999,0.0,6.4,1.723591955994583,19.657142857142855,13.9,24.2,3.5746359224432886,25.150000000000002,18.2,31.4,4.504143391623727,15.057142857142859,10.9,19.5,2.9029730875867155,61.42857142857143,47.0,78.0,7.622984330948746
377,2021-03-07,14,4.614285714285714,0.0,20.3,7.693139515464125,20.607142857142858,17.5,24.0,2.199812679337906,25.592857142857145,18.7,31.6,3.6956240829712863,16.1,13.4,18.2,1.504863909001535,68.14285714285714,58.0,87.0,7.969722925954423
377,2021-03-21,14,1.2857142857142858,0.0,7.7,2.5770756064420546,17.364285714285714,15.4,20.4,1.3937261307274562,22.271428571428572,19.0,26.6,1.9967005751522149,12.542857142857143,9.7,15.3,1.636466308245293,68.21428571428571,57.0,78.0,6.423257877295735
377,2021-04-04,14,2.692857142857143,0.0,26.5,7.117417885907596,17.735714285714288,13.6,21.0,1.9820762784581154,22.414285714285715,17.0,27.0,2.85383874884262,13.5,11.3,16.2,1.4868655725280717,71.07142857142857,63.0,84.0,6.719252313193159
